,x_drive,y_drive,z_drive,rx_drive,ry_drive,theta_drive,x_driven,y_driven,z_driven,rx_driven,ry_driven,theta_driven
x_drive,18507769454.62769,0.0,0.0,0.0,920388.4727313847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y_drive,0.0,18507769454.62769,0.0,-920388.4727313847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z_drive,0.0,0.0,78539816339.74481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rx_drive,0.0,-920388.4727313847,0.0,95.10680884890974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ry_drive,920388.4727313847,0.0,0.0,0.0,95.10680884890974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
theta_drive,0.0,0.0,0.0,0.0,0.0,37.759527086415794,0.0,0.0,0.0,0.0,0.0,0.0
x_driven,0.0,0.0,0.0,0.0,0.0,0.0,18507769454.62769,0.0,0.0,0.0,920388.4727313847,0.0
y_driven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18507769454.62769,0.0,-920388.4727313847,0.0,0.0
z_driven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78539816339.74481,0.0,0.0,0.0
rx_driven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-920388.4727313847,0.0,95.10680884890974,0.0,0.0
ry_driven,0.0,0.0,0.0,0.0,0.0,0.0,920388.4727313847,0.0,0.0,0.0,95.10680884890974,0.0
theta_driven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.759527086415794
