,x_drive,y_drive,z_drive,rx_drive,ry_drive,theta_drive,x_driven,y_driven,z_driven,rx_driven,ry_driven,theta_driven
x_drive,60705162.03997337,166786061.94916075,-7.4342382383974804e-09,-0.0,7.434238238397482e-10,16678606.194916077,-60705162.03997337,-166786061.94916075,7.4342382383974804e-09,0.0,-7.434238238397482e-10,-16678606.194916077
y_drive,166786061.94916075,458240939.08507895,-2.042540169084319e-08,-0.0,2.042540169084319e-09,45824093.908507906,-166786061.94916075,-458240939.08507895,2.042540169084319e-08,0.0,-2.042540169084319e-09,-45824093.908507906
z_drive,-7.4342382383974804e-09,-2.042540169084319e-08,9.104316062752331e-25,0.0,-9.104316062752332e-26,-2.042540169084319e-09,7.4342382383974804e-09,2.042540169084319e-08,-9.104316062752331e-25,-0.0,9.104316062752332e-26,2.042540169084319e-09
rx_drive,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
ry_drive,7.434238238397482e-10,2.042540169084319e-09,-9.104316062752332e-26,-0.0,9.104316062752334e-27,2.0425401690843194e-10,-7.434238238397482e-10,-2.042540169084319e-09,9.104316062752332e-26,0.0,-9.104316062752331e-27,-2.0425401690843194e-10
theta_drive,16678606.194916077,45824093.908507906,-2.042540169084319e-09,-0.0,2.0425401690843194e-10,4582409.390850791,-16678606.194916077,-45824093.908507906,2.042540169084319e-09,0.0,-2.0425401690843194e-10,-4582409.39085079
x_driven,-60705162.03997337,-166786061.94916075,7.4342382383974804e-09,0.0,-7.434238238397482e-10,-16678606.194916077,60705162.03997337,166786061.94916075,-7.4342382383974804e-09,-0.0,7.434238238397482e-10,16678606.194916077
y_driven,-166786061.94916075,-458240939.08507895,2.042540169084319e-08,0.0,-2.042540169084319e-09,-45824093.908507906,166786061.94916075,458240939.08507895,-2.042540169084319e-08,-0.0,2.042540169084319e-09,45824093.908507906
z_driven,7.4342382383974804e-09,2.042540169084319e-08,-9.104316062752331e-25,-0.0,9.104316062752332e-26,2.042540169084319e-09,-7.4342382383974804e-09,-2.042540169084319e-08,9.104316062752331e-25,0.0,-9.104316062752332e-26,-2.042540169084319e-09
rx_driven,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
ry_driven,-7.434238238397482e-10,-2.042540169084319e-09,9.104316062752332e-26,0.0,-9.104316062752331e-27,-2.0425401690843194e-10,7.434238238397482e-10,2.042540169084319e-09,-9.104316062752332e-26,-0.0,9.104316062752334e-27,2.0425401690843194e-10
theta_driven,-16678606.194916077,-45824093.908507906,2.042540169084319e-09,0.0,-2.0425401690843194e-10,-4582409.39085079,16678606.194916077,45824093.908507906,-2.042540169084319e-09,-0.0,2.0425401690843194e-10,4582409.390850791
